text,label
How much does profile page cost?,Question
We really need sync feature in the next update.,Feature Request
What does error NULL_PTR mean?,Question
I hate the new settings.,Complaint
The developers really nailed the dark mode.,Praise
how much does dark mode cost?,Question
Cannot load notifications on my tablet.,Bug Report
Are you going to support Windows 11 soon?,Question
Way too many ads!,Complaint
the developers really nailed the dashboard.,Praise
how do i upload?,Question
Way too many ads!,Complaint
How do I sync?,Question
Love the new profile page!,Praise
It would be great if we could sync.,Feature Request
How do I pay?,Question
The submit button does absolutely nothing.,Bug Report
Cannot load export tool on my Mac.,Bug Report
Please integrate with settings.,Feature Request
How do I login?,Question
When will profile page be released?,Question
cannot load search bar on my ipad,Bug Report
The iOS 17 update is amazing.,Praise
please add dark mode.,Feature Request
Such a clean UI for download.,Praise
I wish there was a way to view history.,Feature Request
Please add export tool.,Feature Request
Is there a tutorial for upload?,Question
The dark mode is broken on Linux.,Bug Report
best app for sign up.,Praise
Error 500 pops up every time.,Bug Report
Stop forcing me to use billing page.,Complaint
would love to see dark mode implemented.,Feature Request
i wish there was a way to sign up.,Feature Request
How do I reset my sync feature?,Question
How do I reset my profile page?,Question
where is the dark mode located?,Question
Absolutely brilliant execution.,Praise
The developers really nailed the billing page.,Praise
What does error OOM mean?,Question
Is there any plan to add dashboard?,Feature Request
What does error SYS_32 mean?,Question
Can we get a dark mode for search bar?,Feature Request
The dashboard is broken on iPhone.,Bug Report
Best app for change password,Praise
The developers really nailed the export tool,Praise
The iOS 17 update is amazing.,Praise
My browser overheats when using this.,Bug Report
would love to see dark mode implemented.,Feature Request
Flawless performance on iPhone.,Praise
The new patch completely ruined the experience.,Complaint
We really need checkout in the next update.,Feature Request
Would love to see notifications implemented.,Feature Request
The settings is broken on Chrome.,Bug Report
i'm cancelling my subscription because of dark mode.,Complaint
Such a clean UI for change password.,Praise
how do i delete account?,Question
The developers really nailed the export tool.,Praise
The developers really nailed the billing page.,Praise
Such a clean UI for upload.,Praise
Cannot load dashboard on my Windows 11.,Bug Report
Can you support tablet?,Feature Request
Please add search bar.,Feature Request
Way too many ads!,Complaint
Why does the app freeze during sign up?,Bug Report
the last update is amazing.,Praise
Please integrate with profile page.,Feature Request
Is Android supported?,Question
Such a clean UI for export.,Praise
Highly recommend for dark mode.,Praise
Would love to see notifications implemented.,Feature Request
Blank screen after delete account.,Bug Report
highly recommend for sync feature.,Praise
How much does notifications cost?,Question
getting a oom error when trying to change password.,Bug Report
Flawless performance on Chrome.,Praise
we really need billing page in the next update.,Feature Request
Highly recommend for dashboard.,Praise
How much does notifications cost?,Question
How much does billing page cost?,Question
This app is so slow since the new patch.,Complaint
Love the new notifications!,Praise
I hate the new sync feature.,Complaint
I wish there was a way to delete account.,Feature Request
love the new notifications!,Praise
I hate the new checkout.,Complaint
Flawless performance on tablet.,Praise
The back button does absolutely nothing.,Bug Report
Love the new notifications!,Praise
The UI is totally glitched on Mac.,Bug Report
Such a clean UI for delete account.,Praise
what does error oom mean?,Question
Customer service is terrible.,Complaint
We really need checkout in the next update.,Feature Request
I'm cancelling my subscription because of settings,Complaint
best app for login.,Praise
Error SYS_32 pops up every time,Bug Report
love the new export tool!,Praise
such a clean ui for delete account.,Praise
the delete button does absolutely nothing.,Bug Report
is there a tutorial for upload?,Question
why does the app freeze during change password?,Bug Report
love the new export tool!,Praise
It's completely unusable now.,Complaint
Please integrate with settings,Feature Request
Highly recommend for profile page,Praise
How do I view history?,Question
I hate the new dashboard.,Complaint
My Android overheats when using this.,Bug Report
Worst update ever.,Complaint
Absolutely brilliant execution.,Praise
It would be great if we could sign up.,Feature Request
The update button does absolutely nothing.,Bug Report
the ui is totally glitched on android.,Bug Report
is there any plan to add dark mode?,Feature Request
Why does the app freeze during sync?,Bug Report
Worst update ever.,Complaint
Flawless performance on browser.,Praise
Getting a SYS_32 error when trying to sync.,Bug Report
the cancel button does absolutely nothing.,Bug Report
The back button does absolutely nothing.,Bug Report
Way too many ads!,Complaint
Highly recommend for search bar.,Praise
Terrible UX on the dashboard.,Complaint
Stop forcing me to use dashboard,Complaint
Stop forcing me to use billing page.,Complaint
Terrible UX on the notifications.,Complaint
best app for sign up.,Praise
the summer update completely ruined the experience.,Complaint
It's completely unusable now.,Complaint
It would be great if we could change password.,Feature Request
This app is so slow since the new patch.,Complaint
Absolutely brilliant execution.,Praise
The UI is totally glitched on tablet.,Bug Report
Love the new dark mode!,Praise
How do I pay?,Question
Absolutely brilliant execution.,Praise
Highly recommend for checkout.,Praise
Such a clean UI for pay.,Praise
Highly recommend for dashboard.,Praise
What does error SYS_32 mean?,Question
Cannot load notifications on my Firefox.,Bug Report
How much does sync feature cost?,Question
The developers really nailed the billing page.,Praise
it would be great if we could view history.,Feature Request
The material design update is amazing.,Praise
Worst update ever.,Complaint
love the new export tool!,Praise
can someone explain how to sign up?,Question
Way too many ads!,Complaint
is there a tutorial for delete account?,Question
Best app for delete account.,Praise
Getting a NULL_PTR error when trying to download.,Bug Report
I'm cancelling my subscription because of settings.,Complaint
How do I delete account?,Question
Highly recommend for settings.,Praise
Would love to see sync feature implemented.,Feature Request
Is there a tutorial for login?,Question
Terrible UX on the dark mode.,Complaint
Cannot load sync feature on my Chrome.,Bug Report
Is Windows 11 supported?,Question
App crashes when I click update.,Bug Report
The developers really nailed the dashboard.,Praise
Can we get a dark mode for checkout?,Feature Request
love the new billing page!,Praise
"5 stars, incredibly useful.",Praise
The new patch is amazing.,Praise
Cannot load profile page on my Android.,Bug Report
It's completely unusable now.,Complaint
Way too many ads!,Complaint
Is there any plan to add profile page?,Feature Request
App crashes when I click login,Bug Report
What does error SYS_32 mean?,Question
The last update is amazing.,Praise
When will checkout be released?,Question
Can someone explain how to delete account?,Question
how much does sync feature cost?,Question
Error AUTH_FAIL pops up every time.,Bug Report
Best app for pay.,Praise
Worst update ever.,Complaint
Why does the app freeze during sign up?,Bug Report
Getting a 500 error when trying to download,Bug Report
What does error OOM mean?,Question
Love the new sync feature!,Praise
How do I change password?,Question
Cannot load billing page on my iPad.,Bug Report
Is tablet supported?,Question
Is there any plan to add dashboard?,Feature Request
Such a clean UI for view history.,Praise
Can we get a dark mode for billing page?,Feature Request
Where is the profile page located?,Question
Flawless performance on Chrome.,Praise
getting a auth_fail error when trying to login.,Bug Report
highly recommend for notifications.,Praise
stop forcing me to use export tool.,Complaint
Is there a tutorial for download?,Question
Error 404 pops up every time,Bug Report
highly recommend for notifications.,Praise
Is there any plan to add dashboard?,Feature Request
The last update is amazing.,Praise
Way too many ads!,Complaint
Terrible UX on the dark mode.,Complaint
Way too many ads!,Complaint
would love to see search bar implemented.,Feature Request
How do I reset my checkout?,Question
stop forcing me to use sync feature.,Complaint
Blank screen after sign up.,Bug Report
My iPad overheats when using this.,Bug Report
Getting a 404 error when trying to sign up.,Bug Report
Worst update ever.,Complaint
How do I login?,Question
Is there any plan to add billing page?,Feature Request
please add dashboard.,Feature Request
It would be great if we could view history.,Feature Request
when will search bar be released?,Question
It's completely unusable now.,Complaint
Would love to see dark mode implemented.,Feature Request
I'm cancelling my subscription because of billing page.,Complaint
Stop forcing me to use profile page.,Complaint
The v20 is amazing,Praise
when will settings be released?,Question
The last update is amazing.,Praise
Way too many ads!,Complaint
Is Mac supported?,Question
Can someone explain how to delete account?,Question
This saves me so much time.,Praise
Can someone explain how to upload?,Question
This app is so slow since the last update.,Complaint
Where is the dashboard located?,Question
Where is the notifications located?,Question
i'm cancelling my subscription because of dark mode.,Complaint
We really need dark mode in the next update.,Feature Request
Please add billing page.,Feature Request
this saves me so much time.,Praise
Add an option to pay.,Feature Request
Terrible UX on the search bar,Complaint
I hate the new settings.,Complaint
how do i reset my export tool?,Question
I hate the new notifications.,Complaint
can someone explain how to upload?,Question
We really need export tool in the next update.,Feature Request
The developers really nailed the sync feature.,Praise
the recent patch completely ruined the experience.,Complaint
What does error AUTH_FAIL mean?,Question
the back button does absolutely nothing.,Bug Report
Customer service is terrible.,Complaint
the ui is totally glitched on firefox.,Bug Report
The v2.0 completely ruined the experience.,Complaint
Why does the app freeze during delete account?,Bug Report
please add billing page.,Feature Request
Please integrate with dashboard.,Feature Request
Highly recommend for search bar.,Praise
is there any plan to add notifications?,Feature Request
Best app for upload.,Praise
Way too many ads!,Complaint
Please add dashboard.,Feature Request
My Windows 11 overheats when using this.,Bug Report
Is there a tutorial for change password?,Question
best app for download.,Praise
Where is the sync feature located?,Question
how do i download?,Question
The developers really nailed the billing page,Praise
The material design update completely ruined the experience.,Complaint
the submit button does absolutely nothing.,Bug Report
Please add checkout.,Feature Request
The v2.0 completely ruined the experience.,Complaint
Would love to see settings implemented.,Feature Request
When will profile page be released?,Question
Highly recommend for dashboard.,Praise
Can we get a dark mode for profile page?,Feature Request
The UI is totally glitched on iPad.,Bug Report
best app for sign up.,Praise
I'm cancelling my subscription because of dashboard.,Complaint
Can someone explain how to export?,Question
Blank screen after delete account.,Bug Report
The developers really nailed the export tool.,Praise
Blank screen after login.,Bug Report
how do i change password?,Question
Please integrate with notifications.,Feature Request
Absolutely brilliant execution.,Praise
Are you going to support iPhone soon?,Question
We really need export tool in the next update,Feature Request
How much does checkout cost?,Question
Cannot load settings on my Chrome.,Bug Report
I'm cancelling my subscription because of dark mode.,Complaint
Worst update ever.,Complaint
Error 404 pops up every time.,Bug Report
I hate the new dark mode,Complaint
The new patch completely ruined the experience.,Complaint
"5 stars, incredibly useful.",Praise
Can you support Windows 11?,Feature Request
Is there any plan to add dark mode?,Feature Request
The material design update is amazing.,Praise
Is there any plan to add checkout?,Feature Request
Are you going to support Android soon?,Question
The UI is totally glitched on Windows 11.,Bug Report
Add an option to download.,Feature Request
Love the new profile page!,Praise
Worst update ever.,Complaint
Best app for upload.,Praise
The cancel button does absolutely nothing.,Bug Report
We really need billing page in the next update.,Feature Request
i'm cancelling my subscription because of sync feature.,Complaint
Best app for sign up.,Praise
The checkout is broken on Chrome.,Bug Report
How much does billing page cost?,Question
i hate the new notifications.,Complaint
Are you going to support Mac soon?,Question
When will notifications be released?,Question
Can we get a dark mode for notifications?,Feature Request
Love the new export tool!,Praise
Error AUTH_FAIL pops up every time.,Bug Report
Add an option to upload,Feature Request
Blank screen after view history,Bug Report
"5 stars, incredibly useful.",Praise
flawless performance on firefox.,Praise
When will settings be released?,Question
This saves me so much time.,Praise
Way too many ads!,Complaint
This app is so slow since the v2.0.,Complaint
App crashes when I click login.,Bug Report
getting a err_connection error when trying to pay,Bug Report
The developers really nailed the settings.,Praise
It would be great if we could sync.,Feature Request
Add an option to login.,Feature Request
It's completely unusable now.,Complaint
can we get a dark mode for billing page?,Feature Request
This app is so slow since the recent patch.,Complaint
Worst update ever.,Complaint
Where is the billing page located?,Question
Customer service is terrible.,Complaint
"5 stars, incredibly useful.",Praise
can you support browser?,Feature Request
Blank screen after login.,Bug Report
Error ERR_CONNECTION pops up every time.,Bug Report
Add an option to download.,Feature Request
Such a clean UI for delete account.,Praise
would love to see search bar implemented.,Feature Request
Blank screen after view history.,Bug Report
The iOS 17 update completely ruined the experience.,Complaint
Is there any plan to add billing page?,Feature Request
please integrate with export tool.,Feature Request
Please add export tool.,Feature Request
Please add dark mode.,Feature Request
Highly recommend for dashboard.,Praise
Please integrate with profile page.,Feature Request
Cannot load profile page on my Chrome.,Bug Report
Worst update ever.,Complaint
Error 500 pops up every time.,Bug Report
I hate the new export tool.,Complaint
error auth_fail pops up every time.,Bug Report
Would love to see export tool implemented.,Feature Request
Can we get a dark mode for sync feature?,Feature Request
I'm cancelling my subscription because of notifications,Complaint
What does error TIMEOUT mean?,Question
Error 403 pops up every time.,Bug Report
The UI is totally glitched on Windows 11.,Bug Report
Why does the app freeze during sign up?,Bug Report
I wish there was a way to pay.,Feature Request
the submit button does absolutely nothing.,Bug Report
Why does the app freeze during view history?,Bug Report
Highly recommend for notifications.,Praise
I'm cancelling my subscription because of billing page.,Complaint
Worst update ever.,Complaint
Love the new sync feature!,Praise
How do I reset my settings?,Question
Is there a tutorial for change password?,Question
when will dark mode be released?,Question
My Android overheats when using this.,Bug Report
Terrible UX on the notifications.,Complaint
This saves me so much time.,Praise
customer service is terrible.,Complaint
Cannot load profile page on my Mac,Bug Report
Getting a ERR_CONNECTION error when trying to login.,Bug Report
is there any plan to add profile page?,Feature Request
Flawless performance on tablet.,Praise
Terrible UX on the sync feature.,Complaint
I'm cancelling my subscription because of export tool.,Complaint
I wish there was a way to delete account,Feature Request
What does error 403 mean?,Question
Are you going to support Firefox soon?,Question
Terrible UX on the sync feature.,Complaint
Blank screen after login.,Bug Report
This saves me so much time.,Praise
getting a 404 error when trying to export,Bug Report
Is there a tutorial for download?,Question
I wish there was a way to view history.,Feature Request
Customer service is terrible.,Complaint
absolutely brilliant execution,Praise
The recent patch completely ruined the experience.,Complaint
cannot load notifications on my android.,Bug Report
Is there a tutorial for sync?,Question
"5 stars, incredibly useful.",Praise
App crashes when I click update,Bug Report
The dark mode is broken on Linux.,Bug Report
Getting a 404 error when trying to sync.,Bug Report
please add notifications.,Feature Request
Where is the checkout located?,Question
I wish there was a way to view history.,Feature Request
Please add dark mode.,Feature Request
Best app for delete account.,Praise
Please integrate with dashboard.,Feature Request
Add an option to delete account,Feature Request
this saves me so much time.,Praise
When will billing page be released?,Question
Is tablet supported?,Question
Cannot load sync feature on my Windows 11.,Bug Report
It would be great if we could download.,Feature Request
Is iPad supported?,Question
Is Chrome supported?,Question
Would love to see search bar implemented.,Feature Request
cannot load billing page on my mac.,Bug Report
Is there any plan to add checkout?,Feature Request
Error OOM pops up every time.,Bug Report
This app is so slow since the recent patch.,Complaint
I hate the new dark mode.,Complaint
Where is the profile page located?,Question
app crashes when i click back.,Bug Report
I hate the new dashboard.,Complaint
Customer service is terrible.,Complaint
Is there any plan to add profile page?,Feature Request
The new patch is amazing.,Praise
Flawless performance on iPad.,Praise
best app for export.,Praise
This app is so slow since the new patch.,Complaint
The recent patch is amazing.,Praise
The iOS 17 update completely ruined the experience.,Complaint
The material design update is amazing.,Praise
This saves me so much time.,Praise
The back button does absolutely nothing.,Bug Report
App crashes when I click update.,Bug Report
It's completely unusable now.,Complaint
We really need notifications in the next update.,Feature Request
When will sync feature be released?,Question
App crashes when I click cancel,Bug Report
Way too many ads!,Complaint
"5 stars, incredibly useful.",Praise
Getting a TIMEOUT error when trying to view history.,Bug Report
Can we get a dark mode for dashboard?,Feature Request
Way too many ads!,Complaint
Why does the app freeze during delete account?,Bug Report
Absolutely brilliant execution,Praise
Is there a tutorial for view history?,Question
I hate the new settings.,Complaint
The developers really nailed the billing page.,Praise
app crashes when i click save.,Bug Report
Error OOM pops up every time.,Bug Report
absolutely brilliant execution.,Praise
Are you going to support Mac soon?,Question
Please integrate with notifications.,Feature Request
How do I sign up?,Question
The UI is totally glitched on Linux.,Bug Report
This app is so slow since the new patch.,Complaint
Is there a tutorial for view history?,Question
how do i export?,Question
It's completely unusable now.,Complaint
Way too many ads!,Complaint
highly recommend for export tool.,Praise
I wish there was a way to sync.,Feature Request
the ui is totally glitched on linux.,Bug Report
My Linux overheats when using this.,Bug Report
Can someone explain how to upload?,Question
highly recommend for search bar.,Praise
I hate the new checkout.,Complaint
App crashes when I click login,Bug Report
Absolutely brilliant execution.,Praise
Blank screen after upload.,Bug Report
is there any plan to add sync feature?,Feature Request
Can you support iPad?,Feature Request
Where is the export tool located?,Question
The delete button does absolutely nothing.,Bug Report
the developers really nailed the billing page.,Praise
Flawless performance on Chrome.,Praise
I'm cancelling my subscription because of notifications.,Complaint
How do I change password?,Question
can someone explain how to export?,Question
Absolutely brilliant execution,Praise
How do I upload?,Question
Where is the profile page located?,Question
can you support linux?,Feature Request
The developers really nailed the notifications.,Praise
Is there a tutorial for sign up?,Question
Terrible UX on the sync feature.,Complaint
Why does the app freeze during login?,Bug Report
The UI is totally glitched on Mac,Bug Report
Can you support iPad?,Feature Request
Is Chrome supported?,Question
The developers really nailed the sync feature.,Praise
please integrate with notifications.,Feature Request
Worst update ever.,Complaint
Worst update ever,Complaint
This saves me so much time.,Praise
please integrate with profile page.,Feature Request
The UI is totally glitched on tablet.,Bug Report
The delete button does absolutely nothing.,Bug Report
terrible ux on the profile page.,Complaint
where is the notifications located?,Question
App crashes when I click delete.,Bug Report
What does error SYS_32 mean?,Question
Can you support Linux?,Feature Request
Error NULL_PTR pops up every time.,Bug Report
Stop forcing me to use dark mode,Complaint
I wish there was a way to pay.,Feature Request
why does the app freeze during login?,Bug Report
please integrate with billing page.,Feature Request
This app is so slow since the iOS 17 update.,Complaint
